mH_GeV      	XS4_ggF      	XS_over_SM     brWW_over_SM    brZZ_over_SM   brGG_over_SM
170.0      	65.69      	8.675      	0.981      	1.014      	0.469      	
172.0      	63.88      	8.649      	0.983      	1.012      	0.474      	
174.0      	62.14      	8.627      	0.984      	1.011      	0.478      	
175.0      	61.31      	8.617      	0.985      	1.010      	0.481      	
176.0      	60.47      	8.606      	0.985      	1.009      	0.483      	
178.0      	58.89      	8.584      	0.986      	1.008      	0.488      	
180.0      	57.39      	8.562      	0.986      	1.006      	0.494      	
182.0      	55.93      	8.542      	0.987      	1.004      	0.499      	
184.0      	54.50      	8.521      	0.987      	1.004      	0.502      	
185.0      	53.81      	8.510      	0.987      	1.004      	0.504      	
186.0      	53.13      	8.498      	0.987      	1.004      	0.505      	
188.0      	51.77      	8.473      	0.987      	1.004      	0.509      	
190.0      	50.49      	8.454      	0.988      	1.005      	0.513      	
192.0      	49.22      	8.429      	0.988      	1.005      	0.517      	
194.0      	48.07      	8.414      	0.988      	1.005      	0.522      	
195.0      	47.45      	8.398      	0.988      	1.005      	0.524      	
196.0      	46.85      	8.381      	0.988      	1.005      	0.526      	
198.0      	45.78      	8.367      	0.988      	1.005      	0.531      	
200.0      	44.69      	8.337      	0.988      	1.005      	0.536      	
202.0      	43.65      	8.316      	0.989      	1.005      	0.540      	
204.0      	42.64      	8.292      	0.989      	1.005      	0.546      	
206.0      	41.68      	8.270      	0.989      	1.005      	0.551      	
208.0      	40.71      	8.245      	0.989      	1.004      	0.556      	
210.0      	39.76      	8.218      	0.989      	1.004      	0.562      	
212.0      	38.88      	8.195      	0.989      	1.004      	0.567      	
214.0      	38.04      	8.175      	0.990      	1.004      	0.573      	
216.0      	37.20      	8.146      	0.990      	1.005      	0.578      	
218.0      	36.40      	8.124      	0.990      	1.004      	0.584      	
220.0      	35.61      	8.096      	0.990      	1.004      	0.590      	
222.0      	34.82      	8.068      	0.990      	1.004      	0.596      	
224.0      	34.07      	8.046      	0.990      	1.004      	0.603      	
226.0      	33.32      	8.014      	0.990      	1.004      	0.609      	
228.0      	32.62      	7.991      	0.991      	1.004      	0.615      	
230.0      	31.92      	7.962      	0.991      	1.004      	0.622      	
232.0      	31.25      	7.936      	0.991      	1.004      	0.628      	
234.0      	30.60      	7.912      	0.991      	1.004      	0.635      	
236.0      	29.99      	7.889      	0.991      	1.004      	0.642      	
238.0      	29.35      	7.859      	0.991      	1.004      	0.649      	
240.0      	28.74      	7.830      	0.991      	1.004      	0.656      	
242.0      	28.16      	7.797      	0.991      	1.004      	0.663      	
244.0      	27.62      	7.772      	0.991      	1.004      	0.671      	
246.0      	27.09      	7.743      	0.991      	1.004      	0.678      	
248.0      	26.58      	7.716      	0.992      	1.004      	0.686      	
250.0      	26.07      	7.685      	0.991      	1.004      	0.694      	
252.0      	25.57      	7.656      	0.992      	1.004      	0.701      	
254.0      	25.07      	7.622      	0.992      	1.004      	0.709      	
256.0      	24.60      	7.596      	0.992      	1.004      	0.717      	
258.0      	24.15      	7.566      	0.992      	1.004      	0.726      	
260.0      	23.68      	7.533      	0.992      	1.004      	0.735      	
262.0      	23.23      	7.498      	0.992      	1.004      	0.743      	
264.0      	22.81      	7.472      	0.992      	1.004      	0.752      	
266.0      	22.38      	7.433      	0.992      	1.004      	0.760      	
268.0      	21.99      	7.407      	0.992      	1.004      	0.770      	
270.0      	21.58      	7.371      	0.992      	1.004      	0.779      	
