mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_tH_pb  XS_tbarH_pb
+120.0   +0.0129  +7.6    +16.6   +4.9         +9.0427    -17.3081   +0.0089   +0.004     
+122.0   +0.0126  +7.5    +16.6   +4.9         +8.9588    -17.3081   +0.0087   +0.0039    
+124.0   +0.0124  +7.4    +17.0   +4.9         +8.8752    -17.6921   +0.0085   +0.0038    
+124.6   +0.0123  +7.4    +16.8   +4.9         +8.8752    -17.5      +0.0085   +0.0038    
+124.8   +0.0123  +7.4    +16.8   +4.9         +8.8752    -17.5      +0.0084   +0.0038    
+125.0   +0.0123  +7.3    +17.2   +4.9         +8.792     -17.8844   +0.0084   +0.0038    
+125.09  +0.0122  +7.4    +17.0   +5.0         +8.9308    -17.72     +0.0084   +0.0038    
+125.2   +0.0122  +7.3    +16.9   +5.0         +8.8482    -17.6241   +0.0084   +0.0038    
+125.3   +0.0122  +7.4    +16.9   +5.0         +8.9308    -17.6241   +0.0084   +0.0038    
+125.38  +0.0122  +7.4    +16.8   +5.0         +8.9308    -17.5283   +0.0084   +0.0038    
+125.6   +0.0122  +7.3    +17.1   +5.0         +8.8482    -17.816    +0.0084   +0.0038    
+126.0   +0.0121  +7.3    +17.0   +5.0         +8.8482    -17.72     +0.0083   +0.0038    
+128.0   +0.0119  +7.2    +17.2   +5.0         +8.7658    -17.912    +0.0082   +0.0037    
+130.0   +0.0117  +7.2    +17.4   +5.0         +8.7658    -18.1041   +0.008    +0.0037    
