mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg
+120.0   +0.1005  +3.6    -9.3    +4.5         +5.7628    -10.3315 
+122.0   +0.0957  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+124.0   +0.0911  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+124.6   +0.0897  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+124.8   +0.0893  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+125.0   +0.0888  +3.4    +9.2    +4.5         +5.64      -10.2416 
+125.09  +0.0886  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+125.2   +0.0884  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+125.3   +0.0882  +3.4    +9.2    +4.5         +5.64      -10.2416 
+125.38  +0.0879  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+125.6   +0.0876  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+126.0   +0.0867  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+128.0   +0.0826  +3.5    +9.2    +4.5         +5.7009    -10.2416 
+130.0   +0.0788  +3.4    +9.2    +4.5         +5.64      -10.2416 
