mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_ggZH_pb
+120.0   +0.3884  +2.51   -2.28   +2.05        +3.2408    -3.0661    +0.0295   
+122.0   +0.3691  +2.55   -2.34   +2.06        +3.2781    -3.1176    +0.0289   
+124.0   +0.3508  +2.65   -2.38   +2.06        +3.3565    -3.1477    +0.0283   
+124.6   +0.3455  +2.69   -2.38   +2.07        +3.3943    -3.1543    +0.028    
+124.8   +0.3438  +2.67   -2.4    +2.07        +3.3784    -3.1694    +0.028    
+125.0   +0.3421  +2.65   -2.41   +2.07        +3.3626    -3.1769    +0.0279   
+125.09  +0.3412  +2.68   -2.39   +2.07        +3.3863    -3.1618    +0.0278   
+125.2   +0.3403  +2.68   -2.39   +2.07        +3.3863    -3.1618    +0.0278   
+125.3   +0.3394  +2.69   -2.4    +2.07        +3.3943    -3.1694    +0.0278   
+125.38  +0.3387  +2.69   -2.39   +2.06        +3.3882    -3.1553    +0.0277   
+125.6   +0.3369  +2.69   -2.4    +2.06        +3.3882    -3.1628    +0.0277   
+126.0   +0.3336  +2.7    -2.42   +2.06        +3.3961    -3.178     +0.0276   
+128.0   +0.3173  +2.76   -2.46   +2.07        +3.45      -3.215     +0.0269   
+130.0   +0.3021  +2.81   -2.51   +2.07        +3.4901    -3.2535    +0.0263   
