mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_WplusH_pb  XS_WminusH_pb
+120.0   +0.6675  +0.645  -0.904  +2.353       +2.4398    -2.5207    +0.4291       +0.2384      
+122.0   +0.6314  +0.657  -0.909  +2.363       +2.4526    -2.5318    +0.4063       +0.2251      
+124.0   +0.5976  +0.667  -0.913  +2.389       +2.4804    -2.5575    +0.385        +0.2127      
+124.6   +0.5879  +0.664  -0.915  +2.387       +2.4776    -2.5564    +0.3788       +0.2091      
+124.8   +0.5847  +0.668  -0.914  +2.39        +2.4816    -2.5588    +0.3768       +0.2079      
+125.0   +0.5815  +0.668  -0.913  +2.388       +2.4797    -2.5566    +0.3748       +0.2068      
+125.09  +0.5802  +0.663  -0.912  +2.387       +2.4774    -2.5553    +0.3739       +0.2063      
+125.2   +0.5784  +0.668  -0.917  +2.392       +2.4835    -2.5617    +0.3728       +0.2056      
+125.3   +0.5769  +0.666  -0.917  +2.386       +2.4772    -2.5561    +0.3718       +0.2051      
+125.38  +0.5756  +0.667  -0.916  +2.388       +2.4794    -2.5577    +0.371        +0.2046      
+125.6   +0.5722  +0.669  -0.915  +2.392       +2.4838    -2.561     +0.3688       +0.2033      
+126.0   +0.566   +0.675  -0.916  +2.396       +2.4893    -2.5651    +0.3649       +0.2011      
+128.0   +0.5363  +0.679  -0.921  +2.405       +2.499     -2.5753    +0.3461       +0.1902      
+130.0   +0.5085  +0.687  -0.922  +2.422       +2.5175    -2.5916    +0.3285       +0.18        
