mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S
+120  +0.1252  +2.8  -2.5  +1.66
+122  +0.1225  +2.8  -2.5  +1.66
+124  +0.1198  +2.9  -2.5  +1.65
+124.6  +0.119  +2.9  -2.5  +1.66
+124.8  +0.1187  +2.9  -2.5  +1.66
+125  +0.1184  +2.9  -2.6  +1.65
+125.09  +0.1183  +2.9  -2.6  +1.65
+125.2  +0.1182  +2.9  -2.6  +1.65
+125.3  +0.118  +2.9  -2.6  +1.64
+125.38  +0.1179  +2.9  -2.6  +1.65
+125.6  +0.1176  +2.9  -2.6  +1.65
+126  +0.1171  +2.9  -2.6  +1.65
+128  +0.1144  +3  -2.6  +1.65
+130  +0.1117  +3.054  -2.6  +1.66
