mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_tH_pb  XS_tbarH_pb
+120.0   +0.0783  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0514   +0.0269    
+122.0   +0.0774  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0508   +0.0266    
+124.0   +0.0764  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0502   +0.0262    
+124.6   +0.0762  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.05     +0.0261    
+124.8   +0.0761  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.05     +0.0261    
+125.0   +0.076   +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0499   +0.0261    
+125.09  +0.076   +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0499   +0.0261    
+125.2   +0.0759  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0499   +0.026     
+125.3   +0.0759  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0498   +0.026     
+125.38  +0.0758  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0497   +0.0261    
+125.6   +0.0757  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0497   +0.026     
+126.0   +0.0755  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0496   +0.0259    
+128.0   +0.0746  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.049    +0.0256    
+130.0   +0.0737  +6.4    +16.0   +2.1         +6.7357    -16.1372   +0.0484   +0.0253    
