mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg
+120     +0.017   +4.6    +6.3    +3.9         +6.0308    -7.4095  
+122     +0.0164  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+124     +0.0157  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+124.6   +0.0155  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+124.8   +0.0155  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+125     +0.0155  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+125.09  +0.0154  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+125.2   +0.0153  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+125.3   +0.0153  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+125.38  +0.0153  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+125.6   +0.0151  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+126     +0.0151  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+128     +0.0144  +4.6    +6.3    +3.9         +6.0308    -7.4095  
+130     +0.0137  +4.6    +6.3    +3.9         +6.0308    -7.4095  
