mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_tH_pb  XS_tbarH_pb
+120.0   +0.0013  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0009   +0.0004    
+122.0   +0.0013  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0009   +0.0004    
+124.0   +0.0012  +2.7    +2.3    +2.8         +3.8897    -3.6235    +0.0008   +0.0004    
+124.6   +0.0012  +2.7    +2.4    +2.8         +3.8897    -3.6878    +0.0008   +0.0004    
+124.8   +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+125.0   +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+125.09  +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+125.2   +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+125.3   +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+125.38  +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+125.6   +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+126.0   +0.0012  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+128.0   +0.0011  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0004    
+130.0   +0.0011  +2.8    +2.4    +2.8         +3.9598    -3.6878    +0.0008   +0.0003    
