mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_tH_pb  XS_tbarH_pb
+120  +0.0951771428571428  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.0622442857142857  +0.0329328571428571
+122  +0.0938914285714286  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.0613728571428571  +0.0325185714285714
+124  +0.0926057142857143  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.0605014285714286  +0.0321042857142857
+124.6  +0.09222  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.06024  +0.03198
+124.8  +0.0920914285714286  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.06024  +0.0318514285714286
+125  +0.09202  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.06014  +0.03188
+125.09  +0.09189  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.06003  +0.03186
+125.2  +0.0918342857142857  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.06024  +0.0315942857142857
+125.3  +0.09177  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.06024  +0.03153
+125.38  +0.09172  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.05993  +0.03179
+125.6  +0.09175  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.06001  +0.03174
+126  +0.09132  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.05963  +0.03169
+128  +0.0900342857142857  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.0587585714285714  +0.0312757142857143
+130  +0.0887485714285714  +6.3  +15  +2.1  +6.6407830863536  -15.1462866736372  +0.0578871428571429  +0.0308614285714286
