mH_GeV   XS_pb   Sca_Hi  Sca_Lo  Pdf_minus_TH  Gauss  Pdf_alpha_s  Total_pos  Total_neg
+120.0   +58.13  +1.7    -4.7    +2.5          +4.1   +2.5         +4.8877    -7.6217  
+122.0   +56.5   +1.7    -4.6    +2.4          +4.1   +2.5         +4.8021    -7.433   
+124.0   +54.92  +1.7    -4.6    +2.4          +4.1   +2.5         +4.8021    -7.433   
+124.6   +54.46  +1.7    -4.6    +2.4          +4.1   +2.5         +4.8021    -7.433   
+124.8   +54.31  +1.7    -4.6    +2.4          +4.1   +2.5         +4.8021    -7.433   
+125.0   +54.16  +1.7    -4.6    +2.4          +4.1   +2.5         +4.8021    -7.433   
+125.09  +54.09  +1.7    -4.6    +2.4          +4.0   +2.5         +4.8021    -7.433   
+125.2   +54.01  +1.7    -4.6    +2.4          +4.0   +2.5         +4.8021    -7.433   
+125.3   +53.93  +1.7    -4.6    +2.4          +4.0   +2.5         +4.8021    -7.433   
+125.38  +53.87  +1.7    -4.6    +2.4          +4.0   +2.5         +4.8021    -7.433   
+125.6   +53.71  +1.7    -4.6    +2.4          +4.0   +2.5         +4.8021    -7.433   
+126.0   +53.41  +1.7    -4.6    +2.4          +4.0   +2.5         +4.8021    -7.433   
+128.0   +51.96  +1.6    -4.6    +2.4          +4.0   +2.5         +4.717     -7.433   
+130.0   +50.58  +1.6    -4.6    +2.3          +4.0   +2.5         +4.6325    -7.3389  
