mH_GeV	sigma_tildettildett/sigma_ggH
110	2.49722515
111	2.49670815
112	2.49612535
113	2.49544855
114	2.49475765
115	2.49404325
116	2.4933218
117	2.4925698
118	2.4918225
119	2.49104935
120	2.49027855
121	2.4895007
122	2.48872755
123	2.48793795
124	2.4871601
125	2.48638225
126	2.48560675
127	2.48481245
128	2.48402285
129	2.48323325
130	2.48243895
131	2.4816329
132	2.48082685
133	2.4800114
134	2.47918655
135	2.478404
136	2.47761675
137	2.47682715
138	2.47605635
139	2.4753067
140	2.47451005
