decay     alphaS   mB      mC     mt      thu
hbb        -1.4   +1.7     0.0    0.0     0.5
htt         0.0    0.0     0.0    0.0     0.5
hmm         0.0    0.0     0.0    0.0     0.5
hcc        -1.9    0.0    +5.3    0.0     0.5
hgluglu    +3.0    0.0     0.0   -0.1     3.2
hgg         0.0    0.0     0.0    0.0     1.0
hzg         0.0    0.0     0.0    0.0     5.0
hww         0.0    0.0     0.0    0.0     0.5
hzz         0.0    0.0     0.0    0.0     0.5
